chrom start
chr17 7577120
chr17 7577538
chr17 7577559
chr17 7578271
chr17 7578394
chr17 7578406
chr12 25398284
chr5 33658404
chr19 39868449
chr21 44524456
chr19 52715971
chr19 52715982
chr19 52716212
chr19 52716323
chr10 89692904
chr4 153244092
chr4 153247289
chr4 153247366
chr4 153249384
chr4 153249385
chr3 178916930
chr3 178921552
chr3 178936091
chr3 178952085
chr19 1802613
chr12 6700637
chr17 7577568
chr17 7578290
chr17 7578478
chr1 19200974
chr22 50216636
chr1 149858535
chr1 149858536
chr4 153247288
chr3 178952084
chr1 237957189
chr19 1802614
chr12 6700638
chr17 7577539
chr17 7577569
chr17 7578272
chr17 7578291
chr17 7578395
chr17 7578479
chr1 19200975
chr12 25398285
chr22 50216637
chr19 52715983
chr1 149858537
chr3 178936092
chr1 237957190
