"chrom" "start"
"1" "chr16" 2098741
"2" "chrX" 100880448
"3" "chr19" 12903465
"4" "chrX" 48922085
"5" "chr1" 17316471
"6" "chr5" 140215899
"7" "chr19" 48917761
"8" "chr17" 26965398
"9" "chr11" 116652911
"10" "chr6" 167717457
"11" "chr10" 124189179
"12" "chr4" 152096178
"13" "chr19" 3600194
"14" "chr9" 101558479
"15" "chr8" 144658618
"16" "chr1" 112322892
"17" "chr8" 73849114
"18" "chr2" 72362278
"19" "chr10" 81061907
"20" "chr14" 24626839
"21" "chr15" 34330986
"22" "chr19" 45899070
"23" "chr19" 8550503
"24" "chr7" 150932609
"25" "chr9" 125797591
"26" "chr6" 35773601
"27" "chr19" 48789445
"28" "chr9" 20820999
"29" "chr10" 94449899
"30" "chr19" 58438549
"31" "chr5" 176825005
"32" "chr16" 1607967
"33" "chr7" 30325426
"34" "chr10" 44111818
"35" "chr17" 18906978
"36" "chr19" 18980915
"37" "chr7" 126173566
"38" "chr16" 68100247
"39" "chr11" 67399174
"40" "chrX" 73641371
"41" "chr5" 16617012
"42" "chr7" 70255042
"43" "chr7" 44611982
"44" "chr19" 56466067
"45" "chr3" 47040488
"46" "chr18" 57022774
"47" "chr6" 27107224
"48" "chr2" 73339551
"49" "chr8" 139890381
"50" "chr11" 119003883
"51" "chr15" 85201323
"52" "chr6" 144086872
"53" "chr17" 65050150
"54" "chr3" 50220121
"55" "chr4" 191006040
"56" "chr19" 619970
"57" "chr3" 126676372
"58" "chr20" 33585286
"59" "chr14" 23902427
"60" "chr19" 3977222
"61" "chr11" 57076643
"62" "chr10" 81146110
"63" "chr22" 38051494
"64" "chr16" 70508198
"65" "chr5" 140558948
"66" "chr2" 186671382
"67" "chr3" 56835751
"68" "chr14" 94060047
"69" "chrX" 101857976
"70" "chr11" 60889208
"71" "chr16" 70605669
"72" "chr7" 7613139
"73" "chr20" 34797548
"74" "chr1" 11561798
"75" "chr18" 29055854
"76" "chr3" 56026194
"77" "chr7" 92354975
"78" "chr2" 128471182
"79" "chr6" 56391215
"80" "chr4" 3768891
"81" "chr11" 133711993
"82" "chr18" 8786015
"83" "chr8" 113841956
"84" "chr19" 8576566
"85" "chr14" 106054069
"86" "chr2" 192711286
"87" "chr17" 72927199
"88" "chr7" 69064770
"89" "chr8" 73849465
"90" "chr6" 24437461
"91" "chr14" 102918864
"92" "chr13" 30054355
"93" "chr4" 187521114
"94" "chr1" 33613204
"95" "chr8" 48649893
"96" "chr19" 5788369
"97" "chr7" 140373342
"98" "chr11" 6651906
"99" "chr7" 41730125
"100" "chr8" 104513137
